index,lon,lat,postcode,country,region,admin_district,admin_ward
0,-0.176923,51.498317,SW7 2AZ,England,London,Westminster,Knightsbridge and Belgravia
1,-0.179925,51.496727,SW7 5JN,England,London,Kensington and Chelsea,Queen's Gate
2,-0.17360599999999998,51.466324,SW11 2EF,England,London,Wandsworth,Latchmere
3,-3.188971,55.947908999999996,EH1 1JZ,Scotland,,City of Edinburgh,City Centre
4,-3.200247,51.507067,CF14 3BA,Wales,,Cardiff,Whitchurch and Tongwynlais
5,-5.934438,54.584771999999994,BT7 1NN,Northern Ireland,,Belfast,Central
6,-2.233578,53.466926,M13 9PL,England,North West,Manchester,Hulme
